Card_UID,Card_SNO
2388929,250R001529
2388930,250R001530
2388931,250R001531
2388932,250R001532
2388933,250R001533
2388934,250R001534
2388935,250R001535
2388936,250R001536
2388937,250R001537
2388938,250R001538
2388939,250R001539
2388940,250R001540
2388941,250R001541
2388942,250R001542
2388943,250R001543
2388944,250R001544
2388945,250R001545
2388946,250R001546
2388947,250R001547
2388948,250R001548
2388949,250R001549
2388950,250R001550
2388951,250R001551
2388952,250R001552
2388953,250R001553
2388954,250R001554
2388955,250R001555
2388956,250R001556
2388957,250R001557
2388958,250R001558
2388959,250R001559
2388960,250R001560
2388961,250R001561
2388962,250R001562
2388963,250R001563
2388964,250R001564
2388965,250R001565
2388966,250R001566
2388967,250R001567
2388968,250R001568
2388969,250R001569
2388970,250R001570
2388971,250R001571
2388972,250R001572
2388973,250R001573
2388974,250R001574
2388975,250R001575
2388976,250R001576
2388977,250R001577
2388978,250R001578
2388979,250R001579
2388980,250R001580
2388981,250R001581
2388982,250R001582
2388983,250R001583
2388984,250R001584
2388985,250R001585
2388986,250R001586
2388987,250R001587
2388988,250R001588
2388989,250R001589
2388990,250R001590
2388991,250R001591
2388992,250R001592
2388993,250R001593
2388994,250R001594
2388995,250R001595
2388996,250R001596
2388997,250R001597
2388998,250R001598
2388999,250R001599
2389000,250R001600
2389001,250R001601
2389002,250R001602
2389003,250R001603
2389004,250R001604
2389005,250R001605
2389006,250R001606
2389007,250R001607
2389008,250R001608
2389009,250R001609
2389010,250R001610
2389011,250R001611
2389012,250R001612
2389013,250R001613
2389014,250R001614
2389015,250R001615
2389016,250R001616
2389017,250R001617
2389018,250R001618
2389019,250R001619
2389020,250R001620
2389021,250R001621
2389022,250R001622
2389023,250R001623
2389024,250R001624
2389025,250R001625
2389026,250R001626
2389027,250R001627
2389028,250R001628
2389029,250R001629
2389030,250R001630
2389031,250R001631
2389032,250R001632
2389033,250R001633
2389034,250R001634
2389035,250R001635
2389036,250R001636
2389037,250R001637
2389038,250R001638
2389039,250R001639
2389040,250R001640
2389041,250R001641
2389042,250R001642
2389043,250R001643
2389044,250R001644
2389045,250R001645
2389046,250R001646
2389047,250R001647
2389048,250R001648
2389049,250R001649
2389050,250R001650
2389051,250R001651
2389052,250R001652
2389053,250R001653
2389054,250R001654
2389055,250R001655
2389056,250R001656
2389057,250R001657
2389058,250R001658
2389059,250R001659
2389060,250R001660
2389061,250R001661
2389062,250R001662
2389063,250R001663
2389064,250R001664
2389065,250R001665
2389066,250R001666
2389067,250R001667
2389068,250R001668
2389069,250R001669
2389070,250R001670
2389071,250R001671
2389072,250R001672
2389073,250R001673
2389074,250R001674
2389075,250R001675
2389076,250R001676
2389077,250R001677
2389078,250R001678
2389079,250R001679
2389080,250R001680
2389081,250R001681
2389082,250R001682
2389083,250R001683
2389084,250R001684
2389085,250R001685
2389086,250R001686
2389087,250R001687
2389088,250R001688
2389089,250R001689
2389090,250R001690
2389091,250R001691
2389092,250R001692
2389093,250R001693
2389094,250R001694
2389095,250R001695
2389096,250R001696
2389097,250R001697
2389098,250R001698
2389099,250R001699
2389100,250R001700
2389101,250R001701
2389102,250R001702
2389103,250R001703
2389104,250R001704
2389105,250R001705
2389106,250R001706
2389107,250R001707
2389108,250R001708
2389109,250R001709
2389110,250R001710
2389111,250R001711
2389112,250R001712
2389113,250R001713
2389114,250R001714
2389115,250R001715
2389116,250R001716
2389117,250R001717
2389118,250R001718
2389119,250R001719
2389120,250R001720
2389121,250R001721
2389122,250R001722
2389123,250R001723
2389124,250R001724
2389125,250R001725
2389126,250R001726
2389127,250R001727
2389128,250R001728
2389129,250R001729
2389130,250R001730
2389131,250R001731
2389132,250R001732
2389133,250R001733
2389134,250R001734
2389135,250R001735
2389136,250R001736
2389137,250R001737
2389138,250R001738
2389139,250R001739
2389140,250R001740
2389141,250R001741
2389142,250R001742
2389143,250R001743
2389144,250R001744
2389145,250R001745
2389146,250R001746
2389147,250R001747
2389148,250R001748
2389149,250R001749
2389150,250R001750
2389151,250R001751
2389152,250R001752
2389153,250R001753
2389154,250R001754
2389155,250R001755
2389156,250R001756
2389157,250R001757
2389158,250R001758
2389159,250R001759
2389160,250R001760
2389161,250R001761
2389162,250R001762
2389163,250R001763
2389164,250R001764
2389165,250R001765
2389166,250R001766
2389167,250R001767
2389168,250R001768
2389169,250R001769
2389170,250R001770
2389171,250R001771
2389172,250R001772
2389173,250R001773
2389174,250R001774
2389175,250R001775
2389176,250R001776
2389177,250R001777
2389178,250R001778
2389179,250R001779
2389180,250R001780
2389181,250R001781
2389182,250R001782
2389183,250R001783
2389184,250R001784
2389185,250R001785
2389186,250R001786
2389187,250R001787
2389188,250R001788
2389189,250R001789
2389190,250R001790
2389191,250R001791
2389192,250R001792
2389193,250R001793
2389194,250R001794
2389195,250R001795
2389196,250R001796
2389197,250R001797
2389198,250R001798
2389199,250R001799
2389200,250R001800
2389201,250R001801
2389202,250R001802
2389203,250R001803
2389204,250R001804
2389205,250R001805
2389206,250R001806
2389207,250R001807
2389208,250R001808
2389209,250R001809
2389210,250R001810
2389211,250R001811
2389212,250R001812
2389213,250R001813
2389214,250R001814
